pc01_state_id,pc01_town_id,shrid
"02","40204000","11-02-800094"
"02","40205000","11-02-800095"
"02","40206000","11-02-800097"
"02","40207000","11-02-800098"
"02","40208000","11-02-800096"
"02","40209000","11-02-800099"
"02","40401000","11-02-800100"
"02","40402000","11-02-800101"
"02","40403000","11-02-800102"
"02","40404000","11-02-800103"
"02","40501000","11-02-800104"
"02","40502000","11-02-800105"
"02","40503000","11-02-800107"
"02","40504000","11-02-800108"
"02","40505000","11-02-800106"
"02","40601000","11-02-800109"
"02","40602000","11-02-800110"
"02","40603000","11-02-800111"
"02","40604000","11-02-800112"
"02","40701000","11-02-800113"
"02","40702000","11-02-800114"
"02","40703000","11-02-800115"
"02","40704000","11-02-800116"
"02","40705000","11-02-800117"
"02","40801000","11-02-800118"
"02","40802000","11-02-800119"
"02","40803000","11-02-800120"
"02","40804000","11-02-800121"
"02","40901000","11-02-800122"
"02","40902000","11-02-800123"
"02","40903000","11-02-800124"
"02","40904000","11-02-800125"
"02","40905000","11-02-800126"
"02","40906000","11-02-800127"
"02","40907000","11-02-800128"
"02","40908000","11-02-800129"
"02","41001000","11-02-800130"
"02","41002000","11-02-800131"
"02","41003000","11-02-800132"
"02","41101000","11-02-800133"
"02","41102000","11-02-800134"
"02","41103000","11-02-800135"
"02","41104000","11-02-800136"
"02","41105000","11-02-800137"
"02","41106000","11-02-800138"
"02","41107000","11-02-800139"
"02","41108000","11-02-800141"
"02","41109000","11-02-800137"
"02","41110000","11-02-800142"
"03","40101000","11-03-800143"
"03","40102000","11-03-027772"
"03","40103000","11-03-800144"
"03","40104000","11-03-027775"
"03","40106000","11-03-800145"
"03","40107000","11-03-800146"
"03","40109000","11-03-800152"
"03","40110000","11-03-800148"
"03","40111000","11-03-800149"
"03","40112000","11-03-800151"
"03","40113000","11-03-800150"
"03","40114000","11-03-800147"
"03","40201000","11-03-800246"
"03","40202000","11-03-800247"
"03","40203000","11-03-800249"
"03","40204000","11-03-800248"
"03","40205000","11-03-800252"
"03","40206000","11-03-800250"
"03","40207000","11-03-038244"
"03","40208000","11-03-800256"
"03","40209000","11-03-800255"
"03","40210000","11-03-800254"
"03","40211000","11-03-800251"
"03","40212000","11-03-800253"
"03","40213000","11-03-037850"
"03","40301000","11-03-800154"
"03","40302000","11-03-800153"
"03","40303000","11-03-800156"
"03","40304000","11-03-800155"
"03","40305000","11-03-029355"
"03","40306000","11-03-800157"
"03","40307000","11-03-800158"
"03","40401000","11-03-800170"
"03","40402000","11-03-800168"
"03","40403000","11-03-800167"
"03","40404000","11-03-800169"
"03","40405000","11-03-800166"
"03","40406000","11-03-030390"
"03","40407000","11-03-800165"
"03","40408000","11-03-800159"
"03","40409000","11-03-800160"
"03","40410000","11-03-800161"
"03","40411000","11-03-030248"
