pc11_state_id,pc11_town_id,shrid
"03","032343","11-03-032343"
"03","032344","11-03-032344"
"03","032529","11-03-032529"
"03","033546","11-03-033546"
"03","033674","11-03-033674"
"03","033675","11-03-033675"
"03","033676","11-03-033676"
"03","033677","11-03-033677"
"03","033678","11-03-033678"
"03","033679","11-03-033679"
"03","033754","11-03-033754"
"03","033755","11-03-033755"
"03","034220","11-03-034220"
"03","034787","11-03-034787"
"03","035150","11-03-035150"
"03","035831","11-03-035831"
"03","035832","11-03-035832"
"03","036472","11-03-036472"
"03","036830","11-03-036830"
"03","037081","11-03-037081"
"03","037425","11-03-037425"
"03","037671","11-03-037671"
"03","037672","11-03-037672"
"03","037673","11-03-037673"
"03","037848","11-03-037848"
"03","037849","11-03-037849"
"03","037850","11-03-037850"
"03","038244","11-03-038244"
"03","038763","11-03-038763"
"03","038764","11-03-038764"
"03","038765","11-03-038765"
"03","039141","11-03-039141"
"03","039227","11-03-039227"
"03","039228","11-03-039228"
"03","039383","11-03-039383"
"03","039384","11-03-039384"
"03","039385","11-03-039385"
"03","039386","11-03-039386"
"03","039387","11-03-039387"
"03","039571","11-03-039571"
"03","800143","11-03-800143"
"03","800144","11-03-800144"
"03","800145","11-03-800145"
"03","800146","11-03-800146"
"03","800147","11-03-800147"
"03","800148","11-03-800148"
"03","800149","11-03-800149"
"03","800150","11-03-800150"
"03","800151","11-03-800151"
"03","800152","11-03-800152"
"03","800153","11-03-800153"
"03","800154","11-03-800154"
"03","800155","11-03-800155"
"03","800156","11-03-800156"
"03","800157","11-03-800157"
"03","800158","11-03-800158"
"03","800159","11-03-800159"
"03","800160","11-03-800160"
"03","800161","11-03-800161"
"03","800162","11-03-800162"
"03","800163","11-03-800163"
"03","800164","11-03-800164"
"03","800165","11-03-800165"
"03","800166","11-03-800166"
"03","800167","11-03-800167"
"03","800168","11-03-800168"
"03","800169","11-03-800169"
"03","800170","11-03-800170"
"03","800171","11-03-800171"
"03","800172","11-03-800172"
"03","800173","11-03-800173"
"03","800174","11-03-800174"
"03","800175","11-03-800175"
"03","800176","11-03-800176"
"03","800177","11-03-800177"
"03","800178","11-03-800178"
