pc91_state_id,pc91_district_id,pc91_town_id,shrid
"05","02","101000","11-10-801368"
"05","02","102000","11-10-801365"
"05","02","103000","11-10-801366"
"05","02","300000","11-10-801364"
"05","03","100000","11-10-801388"
"05","03","101000","11-10-801387"
"05","03","102000","11-10-801384"
"05","03","103000","11-10-801386"
"05","03","104000","11-10-801389"
"05","03","105000","11-10-801391"
"05","03","106000","11-10-801390"
"05","03","300000","11-10-801385"
"05","04","100000","11-10-801393"
"05","04","101000","11-10-801394"
"05","04","102000","11-10-801395"
"05","04","103000","11-10-801398"
"05","04","104000","11-10-801392"
"05","04","105000","11-10-801396"
"05","04","106000","11-10-801397"
"05","05","100000","11-10-801401"
"05","05","101000","01-10-43402000"
"05","05","102000","11-10-801402"
"05","05","103000","11-10-801399"
"05","05","104000","11-10-801400"
"05","06","100000","11-10-801413"
"05","06","101000","11-10-801414"
"05","07","100000","11-10-801406"
"05","07","101000","11-10-801405"
"05","07","102000","11-10-801403"
"05","07","300100","11-10-801404"
"05","07","300200","91-05-0700300200"
"05","08","100000","11-10-801407"
"05","08","101000","11-10-801409"
"05","08","102000","11-10-801408"
"05","09","100000","11-10-801332"
"05","09","101000","11-10-801336"
"05","09","102000","11-10-801335"
"05","09","103000","11-10-801334"
"05","09","300000","11-10-801333"
"05","10","100000","11-10-801329"
"05","10","101000","11-10-801331"
"05","10","102000","11-10-801330"
"05","11","100000","11-10-801327"
"05","11","101000","11-10-801326"
"05","11","102000","11-10-801328"
"05","11","103000","11-10-801325"
"05","12","100000","11-10-801281"
"05","12","101000","11-10-801280"
"05","12","102000","11-10-801278"
"05","12","103000","11-10-801279"
"05","12","104000","11-10-801277"
"05","13","100000","11-10-801283"
"05","13","101000","11-10-801282"
"05","13","102000","11-10-801288"
"05","13","103000","11-10-801284"
"05","13","200001","11-10-801285"
"05","13","201000","01-10-40204000"
"05","14","100000","11-10-801294"
"05","14","101000","11-10-801293"
"05","14","102000","11-10-801297"
"05","14","103000","11-10-801292"
"05","14","200101","11-10-801295"
"05","14","201000","11-10-801296"
"05","15","100000","11-10-801323"
"05","15","101000","11-10-801322"
"05","15","300000","11-10-801324"
"05","16","100000","11-10-801338"
"05","16","101000","11-10-801337"
"05","16","102000","11-10-801339"
"05","17","100000","91-05-1700100000"
"05","17","101000","91-05-1700101000"
"05","17","201000","11-10-801343"
"05","18","100001","11-10-801340"
"05","18","101000","11-10-801341"
"05","18","102000","01-10-41902000"
"05","18","103000","11-10-801342"
"05","18","104000","11-10-237301"
"05","19","300000","11-10-801319"
"05","20","100000","11-10-801299"
"05","20","101000","11-10-801298"
"05","20","102000","11-10-801300"
"05","20","103000","11-10-801301"
"05","21","100000","11-10-801318"
"05","21","101000","11-10-801304"
"05","21","102000","11-10-801303"
"05","21","103000","11-10-801302"
"05","21","104000","11-10-221071"
"05","21","105000","11-10-220942"
"05","22","100000","11-10-801316"
"05","22","101000","11-10-801317"
"05","22","102000","11-10-226081"
"05","23","100000","11-10-801311"
"05","23","300100","11-10-801312"
"05","23","300200","11-10-801313"
"05","24","100000","11-10-801315"
"05","24","300001","11-10-801314"
"05","25","100000","11-10-801349"
"05","25","101000","11-10-801350"
"05","26","100000","11-10-801358"
"05","26","101000","11-10-242638"
"05","26","102000","11-10-801359"
"05","26","103000","11-10-801411"
"05","26","104000","11-10-801412"
"05","26","105000","11-10-801361"
"05","26","107000","11-10-801362"
"05","26","108000","11-10-801360"
"05","26","109000","11-10-243123"
"05","26","110000","11-10-243202"
"05","26","300000","11-10-801357"
"05","27","100000","11-10-801353"
"05","27","101000","11-10-801352"
"05","27","102000","11-10-801351"
"05","27","103000","11-10-801356"
"05","27","104000","11-10-801355"
"05","27","300100","11-10-801354"
"05","27","300200","11-10-240182"
"05","28","100000","11-20-801771"
"05","29","100000","11-20-801772"
"05","29","101000","11-20-801773"
"05","29","102000","11-20-358526"
"05","29","103000","11-20-801774"
"05","30","100000","11-20-801791"
"05","30","101000","11-20-801792"
"05","30","102000","11-20-801793"
"05","30","103000","11-20-801790"
"05","31","100000","11-20-801770"
"05","31","200001","11-20-801769"
"05","31","201000","01-20-40701000"
"05","32","100000","11-20-362191"
"05","32","101000","11-20-362194"
"05","32","102000","11-20-361403"
"05","32","103000","11-20-362186"
"05","32","104000","01-20-41211000"
"05","32","105000","11-20-362854"
"05","32","106000","11-20-361835"
"05","32","107000","11-20-362185"
"05","32","108000","11-20-362160"
"05","32","109000","11-20-361935"
"05","32","110000","11-20-361611"
"05","32","111000","11-20-362853"
"05","32","200001","11-20-801776"
"05","32","201000","11-20-362193"
"05","32","300100","11-20-801775"
"05","32","300200","01-20-41221000"
"05","32","300300","01-20-41214000"
"05","32","300400","01-20-41210000"
"05","32","300500","01-20-41219000"
"05","32","300600","01-20-41216000"
"05","32","300700","01-20-41230000"
"05","32","300800","01-20-41222000"
"05","32","300900","01-20-41224000"
"05","32","301000","01-20-41217000"
